person,personLabel
http://www.wikidata.org/entity/Q2721515,गौतम गंभीर
http://www.wikidata.org/entity/Q2721717,संजय मांजरेकर
http://www.wikidata.org/entity/Q2721727,अंशुमान गायकवाड़
http://www.wikidata.org/entity/Q2657648,बबीता फोगाट
http://www.wikidata.org/entity/Q2721457,रवींद्र सिंह जडेजा
http://www.wikidata.org/entity/Q2721475,कृष्णम्माचारी श्रीकांत
http://www.wikidata.org/entity/Q561487,सौरव गांगुली
http://www.wikidata.org/entity/Q2722238,सदानन्द विश्वनाथ
http://www.wikidata.org/entity/Q2722245,संजीव शर्मा
http://www.wikidata.org/entity/Q2722268,नयन मोंगिया
http://www.wikidata.org/entity/Q2722321,सबा करीम
http://www.wikidata.org/entity/Q2722943,मुस्ताक अली
http://www.wikidata.org/entity/Q2721774,संदीप मधुसूदन पाटिल
http://www.wikidata.org/entity/Q2722025,अजय जड़ेजा
http://www.wikidata.org/entity/Q2722085,किरण बेदी
http://www.wikidata.org/entity/Q632417,अर्चना देवधर
http://www.wikidata.org/entity/Q1718746,विजय हजारे
http://www.wikidata.org/entity/Q7238853,प्रवीण कुमार सोबती
http://www.wikidata.org/entity/Q7238863,प्रवीण ठिपसे
http://www.wikidata.org/entity/Q7239777,प्रीति डिमरी
http://www.wikidata.org/entity/Q7240152,प्रेम माया सोनिर
http://www.wikidata.org/entity/Q7245928,प्रीतम रानी सिवाच
http://www.wikidata.org/entity/Q2723699,किरण मोरे
http://www.wikidata.org/entity/Q1719579,तृप्ती मुरगुंडे
http://www.wikidata.org/entity/Q7238519,प्रशांत वैद्य
http://www.wikidata.org/entity/Q7238705,प्रतिमा पुहन
http://www.wikidata.org/entity/Q2602636,मोहिंदर अमरनाथ
http://www.wikidata.org/entity/Q2722170,सलिल अंकोला
http://www.wikidata.org/entity/Q2722181,अतुल वासन
http://www.wikidata.org/entity/Q2722186,अतुल बेदादे
http://www.wikidata.org/entity/Q2722220,अशोक पटेल
http://www.wikidata.org/entity/Q2722231,समीर दिघे
http://www.wikidata.org/entity/Q763995,बुधिया सिंह
http://www.wikidata.org/entity/Q738277,हनुमंत सिंह
http://www.wikidata.org/entity/Q7282996,रघुबीर सिंह
http://www.wikidata.org/entity/Q7283055,रघुराम भाट
http://www.wikidata.org/entity/Q7283390,राही सरनोबत
http://www.wikidata.org/entity/Q2723638,शिवलाल यादव
http://www.wikidata.org/entity/Q2723648,सुरिंदर अमरनाथ
http://www.wikidata.org/entity/Q2723684,रमाकांत देसाई
http://www.wikidata.org/entity/Q2723693,विजय मर्चेंट
http://www.wikidata.org/entity/Q7261356,पूर्णिमा चौधरी
http://www.wikidata.org/entity/Q7261359,पूर्णिमा राव
http://www.wikidata.org/entity/Q7261857,पुष्पेन्द्र कूमार गर्ग
http://www.wikidata.org/entity/Q7273905,आर॰ पी॰ सिंह
http://www.wikidata.org/entity/Q1726219,प्रदन्या गद्रे
http://www.wikidata.org/entity/Q7245950,पृथीपाल सिंह
http://www.wikidata.org/entity/Q7255992,कतूलू रवि कुमार
http://www.wikidata.org/entity/Q7260124,पुनीत बिष्ट
http://www.wikidata.org/entity/Q7285483,कुँवर महाराजसिंह
http://www.wikidata.org/entity/Q7285740,रजनी वेणुगोपाल
http://www.wikidata.org/entity/Q7310611,रेखा गोडबोले
http://www.wikidata.org/entity/Q7310613,रेखा पुणेकर
http://www.wikidata.org/entity/Q7313572,रेणू मारग्रेट
http://www.wikidata.org/entity/Q7315377,रेशमा गाँधी
http://www.wikidata.org/entity/Q27913916,कुहू गर्ग
http://www.wikidata.org/entity/Q7286107,राजेश्वरी ढोलकिया
http://www.wikidata.org/entity/Q7286386,राजपाल सिंह
http://www.wikidata.org/entity/Q7291682,रणधीर सिंह (क्रिकेटर)
http://www.wikidata.org/entity/Q7292599,रंगा सोहनी
